监测站编号,空气质量指数(AQI),PM2.5(微克/立方米),气温(摄氏度),相对湿度(%)
ST_122,42,45.0,30.8,73.5
ST_123,96,78.0,12.8,31.2
ST_124,86,57.0,14.1,70.1
ST_125,269,179.0,14.7,30.4
ST_126,49,44.0,19.9,91.6
ST_127,56,46.0,,81.1
ST_128,21,5.0,19.8,74.0
ST_129,64,40.0,13.4,26.7
ST_130,149,112.0,35.0,28.1
ST_131,41,14.0,11.5,30.2
ST_132,89,40.0,1.3,68.8
ST_133,183,128.0,14.7,48.4
ST_134,32,12.0,17.8,80.1
ST_135,31,18.0,5.7,34.6
ST_136,76,42.0,4.8,71.8
ST_137,52,19.0,13.8,43.1
ST_138,159,113.0,18.5,36.3
ST_139,29,22.0,10.7,42.6
ST_140,24,19.0,9.1,24.1
ST_141,23,,23.8,26.7
ST_142,46,19.0,32.0,44.2
ST_143,95,71.0,20.9,78.7
ST_144,28,23.0,27.6,67.8
ST_145,10,13.0,30.8,73.9
ST_146,91,47.0,8.8,79.8
ST_147,56,31.0,,40.0
ST_148,75,,12.5,53.8
ST_149,52,34.0,15.7,41.1
ST_150,11,5.0,-2.1,38.1
ST_151,35,26.0,-4.6,21.7
ST_152,10,,41.3,27.4
ST_153,105,92.0,33.9,36.6
ST_154,78,47.0,15.9,57.3
ST_155,50,42.0,14.1,61.9
ST_156,25,13.0,21.0,64.7
ST_157,80,58.0,11.5,42.1
ST_158,35,26.0,-4.2,74.1
ST_159,39,14.0,4.4,77.1
ST_160,23,12.0,18.1,35.9
ST_161,40,20.0,9.7,69.9
ST_162,52,44.0,30.6,91.8
ST_163,70,42.0,24.0,43.6
ST_164,86,68.0,,94.8
ST_165,75,44.0,34.9,84.5
ST_166,32,26.0,19.9,71.8
ST_167,22,,16.8,41.3
ST_168,44,18.0,4.0,42.2
ST_169,49,29.0,,22.9
ST_170,179,123.0,11.4,32.4
ST_171,89,46.0,22.9,31.7
ST_172,145,107.0,12.3,35.3
ST_173,84,53.0,11.1,59.4
ST_174,28,27.0,35.4,64.7
ST_175,179,135.0,18.8,81.6
ST_176,63,46.0,-5.7,55.8
ST_177,46,17.0,22.4,69.4
ST_178,49,27.0,9.7,57.7
ST_179,197,143.0,17.0,55.8
ST_180,80,49.0,13.8,69.4
ST_181,89,74.0,19.4,22.5
ST_182,76,46.0,4.4,30.3
ST_183,55,,,53.8
ST_184,77,55.0,11.9,57.2
ST_185,70,66.0,20.1,42.6
ST_186,120,89.0,12.8,61.7
ST_187,139,93.0,22.0,39.7
ST_188,15,5.0,13.7,28.1
ST_189,120,74.0,,59.8
ST_190,14,17.0,6.8,93.5
ST_191,92,65.0,17.3,93.0
ST_192,39,26.0,10.1,51.8
ST_193,38,24.0,25.8,83.7
ST_194,11,24.0,20.5,78.2
ST_195,22,27.0,,22.9
ST_196,20,5.0,12.5,49.4
ST_197,20,16.0,18.4,28.5
ST_198,140,95.0,,79.2
ST_199,39,23.0,19.2,57.1
ST_200,83,,25.2,36.0
ST_201,54,40.0,14.1,32.5
ST_202,17,5.0,20.3,29.4
ST_203,10,5.0,-5.3,54.8
ST_204,36,24.0,17.2,69.4
ST_205,51,30.0,7.6,77.3
ST_206,44,33.0,23.6,39.1
ST_207,68,54.0,32.2,88.0
ST_208,73,38.0,13.8,93.3
ST_209,23,5.0,8.6,53.7
ST_210,32,16.0,17.9,91.9
ST_211,92,56.0,34.2,94.9
ST_212,45,17.0,22.3,66.7
ST_213,11,5.0,20.4,34.5
ST_214,106,75.0,16.3,28.2
ST_215,79,,36.1,94.4
ST_216,15,8.0,20.6,70.7
ST_217,51,41.0,35.7,45.3
ST_218,119,87.0,16.3,92.2
ST_219,169,119.0,0.2,55.9
ST_220,69,43.0,-3.9,64.9
ST_221,68,,20.4,38.2
ST_222,28,5.0,19.9,71.8
ST_223,90,62.0,12.6,27.4
ST_224,27,26.0,14.1,59.8
ST_225,38,23.0,-0.8,71.3
ST_226,106,58.0,7.8,59.9
ST_227,42,34.0,,41.6
ST_228,63,60.0,25.6,45.0
ST_229,160,102.0,28.9,35.0
ST_230,33,16.0,9.6,47.8
ST_231,52,53.0,20.5,74.9
ST_232,49,30.0,15.6,76.2
ST_233,23,37.0,11.1,62.2
ST_234,51,46.0,23.1,62.5
ST_235,179,125.0,31.0,47.2
ST_236,96,60.0,4.6,60.5
ST_237,60,38.0,19.7,91.7
ST_238,55,46.0,2.3,76.9
ST_239,73,46.0,18.5,23.6
ST_240,41,30.0,6.0,82.0
ST_241,62,,3.6,62.2
ST_242,50,44.0,,39.1
ST_243,46,26.0,19.9,64.3
ST_244,36,20.0,26.8,73.5
ST_245,11,11.0,16.9,28.7
ST_246,185,125.0,7.4,73.1
ST_247,192,122.0,14.7,43.7
ST_248,131,80.0,31.2,94.1
ST_249,44,41.0,25.8,62.9
ST_250,46,30.0,25.5,74.0
ST_251,28,24.0,16.6,53.9
ST_252,184,119.0,5.1,26.1
ST_253,69,57.0,18.4,87.7
ST_254,30,40.0,22.9,35.5
ST_255,46,35.0,21.1,64.4
ST_256,114,93.0,30.1,62.5
ST_257,403,298.0,8.8,73.8
ST_258,15,5.0,8.5,84.9
ST_259,45,20.0,8.6,62.1
ST_260,29,,14.5,87.4
ST_261,18,18.0,23.0,42.6
ST_262,25,9.0,18.9,74.6
ST_263,209,144.0,-9.2,75.3
ST_264,32,30.0,13.7,75.4
ST_265,177,131.0,23.1,53.0
ST_266,106,,,48.5
ST_267,16,5.0,30.2,28.3
ST_268,40,33.0,22.4,44.1
ST_269,265,174.0,0.1,68.8
ST_270,107,69.0,7.0,47.9
ST_271,101,65.0,8.5,64.6
ST_272,103,50.0,1.7,33.0
ST_273,192,,8.0,93.1
ST_274,29,23.0,7.4,84.2
ST_275,50,37.0,12.7,64.7
ST_276,141,97.0,20.6,62.6
ST_277,44,24.0,16.4,68.8
ST_278,23,21.0,20.1,67.5
ST_279,13,14.0,30.5,53.6
ST_280,43,,11.7,37.0
ST_281,100,62.0,,76.0
ST_282,82,61.0,13.5,46.4
ST_283,29,19.0,13.9,87.9
ST_284,35,34.0,12.0,27.6
ST_285,14,7.0,29.6,43.8
ST_286,10,5.0,25.0,50.9
ST_287,11,5.0,13.0,59.1
ST_288,33,5.0,15.0,76.2
ST_289,11,5.0,15.8,68.1
ST_290,179,117.0,22.2,37.3
ST_291,15,16.0,33.0,62.0
ST_292,19,11.0,-5.6,31.1
ST_293,23,,14.3,43.8
ST_294,94,62.0,19.3,64.2
ST_295,31,19.0,15.6,28.0
ST_296,77,79.0,11.8,27.1
ST_297,17,25.0,21.9,86.3
ST_298,55,38.0,25.0,90.7
ST_299,259,180.0,3.4,33.9
ST_300,24,5.0,13.6,84.3
ST_301,114,80.0,17.8,68.4
ST_302,43,16.0,,59.1
ST_303,98,71.0,5.0,87.8
ST_304,75,,36.8,25.3
ST_305,30,17.0,11.2,39.8
ST_306,24,9.0,29.3,51.3
ST_307,56,14.0,20.1,53.4
ST_308,140,95.0,11.4,93.7
ST_309,50,39.0,14.3,40.8
ST_310,49,43.0,16.8,81.8
ST_311,72,50.0,5.1,28.8
ST_312,41,26.0,9.0,94.8
ST_313,23,13.0,12.3,90.5
ST_314,23,18.0,19.7,30.2
ST_315,26,26.0,,33.0
ST_316,77,57.0,10.5,39.5
ST_317,42,34.0,18.5,44.1
ST_318,25,8.0,9.6,43.7
ST_319,43,23.0,,56.5
ST_320,10,5.0,12.4,32.6
ST_321,43,20.0,24.4,69.0
ST_322,30,13.0,8.5,63.5
ST_323,20,7.0,30.3,81.3
ST_324,102,79.0,12.1,86.5
ST_325,304,217.0,19.6,28.9
ST_326,202,141.0,14.0,87.9
ST_327,10,18.0,27.2,94.4
ST_328,62,48.0,16.2,87.5
ST_329,32,13.0,20.7,87.7
ST_330,49,28.0,15.5,91.4
ST_331,43,14.0,-2.5,49.4
ST_332,189,119.0,1.5,76.0
ST_333,32,18.0,-1.1,63.1
ST_334,26,16.0,-10.1,52.1
ST_335,84,57.0,18.5,90.6
ST_336,76,57.0,14.7,33.2
ST_337,106,85.0,-2.5,38.9
ST_338,14,,6.8,36.2
ST_339,38,43.0,38.6,28.0
ST_340,45,21.0,,67.8
ST_341,37,19.0,0.3,82.1
ST_342,44,31.0,14.4,54.5
ST_343,27,8.0,12.3,23.3
ST_344,23,33.0,13.2,55.6
ST_345,19,40.0,28.3,43.5
ST_346,70,62.0,17.2,69.3
ST_347,59,32.0,25.7,54.1
ST_348,28,18.0,28.5,26.5
ST_349,274,194.0,10.3,30.1
ST_350,44,38.0,-4.9,61.1
ST_351,118,82.0,18.4,39.8
ST_352,33,7.0,11.7,23.3
ST_353,103,71.0,19.7,74.1
ST_354,99,62.0,16.4,40.0
ST_355,230,160.0,18.2,53.1
ST_356,89,60.0,26.6,94.9
ST_357,88,65.0,24.0,31.5
ST_358,26,30.0,7.7,71.4
ST_359,28,10.0,-2.5,90.4
ST_360,36,26.0,13.8,78.3
ST_361,125,87.0,6.0,56.9
ST_362,57,25.0,13.1,40.1
ST_363,45,33.0,27.0,90.1
ST_364,31,21.0,23.3,41.5
ST_365,138,75.0,14.3,70.2
ST_366,23,5.0,19.2,47.7
ST_367,41,43.0,3.0,86.8
ST_368,13,6.0,24.7,57.9
ST_369,70,27.0,22.7,39.5
ST_370,50,45.0,16.9,72.5
ST_371,52,22.0,19.3,45.5
ST_372,98,56.0,31.9,52.2
ST_373,25,19.0,0.6,30.6
ST_374,64,27.0,20.8,26.6
ST_375,120,96.0,9.3,87.2
ST_376,48,27.0,7.6,29.5
ST_377,24,17.0,3.5,21.1
ST_378,48,18.0,11.7,65.0
ST_379,20,23.0,26.0,81.4
ST_380,134,,9.8,46.8
ST_381,47,38.0,19.6,59.9
ST_382,130,61.0,4.0,22.3
ST_383,75,53.0,15.4,40.5
ST_384,23,23.0,29.0,59.9
ST_385,128,95.0,5.9,84.5
ST_386,58,40.0,9.0,76.9
ST_387,68,38.0,22.8,90.7
ST_388,33,16.0,25.1,93.1
ST_389,167,143.0,22.7,68.4
ST_390,56,46.0,22.6,27.0
ST_391,156,124.0,28.8,39.1
ST_392,98,71.0,18.2,80.4
ST_393,60,49.0,9.7,24.5
ST_394,107,87.0,17.6,81.1
ST_395,18,5.0,18.3,51.5
ST_396,21,5.0,33.9,79.9
ST_397,33,16.0,20.6,47.3
ST_398,125,81.0,14.5,87.6
ST_399,25,17.0,13.9,43.9
ST_400,39,28.0,13.7,52.2
ST_401,104,84.0,-4.9,40.2
ST_402,65,42.0,8.7,82.0
ST_403,66,51.0,12.4,40.5
ST_404,14,21.0,4.8,80.8
ST_405,72,45.0,-6.8,61.1
ST_406,37,41.0,11.1,69.4
ST_407,141,98.0,3.0,31.2
ST_408,95,57.0,7.9,79.7
ST_409,14,9.0,28.2,21.2
ST_410,162,112.0,28.6,42.6
ST_411,44,41.0,13.4,56.1
ST_412,18,11.0,26.7,81.7
ST_413,23,7.0,11.8,72.2
ST_414,43,28.0,12.5,20.7
ST_415,17,11.0,19.9,56.1
ST_416,104,82.0,14.0,80.0
ST_417,115,67.0,18.9,67.6
ST_418,139,102.0,8.8,79.4
ST_419,321,230.0,26.0,66.9
ST_420,125,86.0,11.0,21.0
ST_421,151,113.0,12.6,20.6
ST_422,68,43.0,20.0,65.0
ST_423,54,36.0,,32.6
ST_424,12,21.0,,68.0
ST_425,34,37.0,25.9,52.5
ST_426,121,105.0,,92.5
ST_427,128,109.0,14.6,49.3
ST_428,18,24.0,,65.6
ST_429,58,36.0,7.2,60.9
ST_430,98,71.0,12.4,68.7
ST_431,58,35.0,14.2,83.5
ST_432,211,156.0,29.7,30.5
ST_433,47,32.0,35.0,29.6
ST_434,37,12.0,29.8,49.7
ST_435,153,102.0,20.7,59.2
ST_436,56,34.0,12.9,44.2
ST_437,43,20.0,23.1,43.7
ST_438,63,46.0,18.3,56.9
ST_439,164,105.0,9.6,75.2
ST_440,77,57.0,23.7,37.9
ST_441,41,26.0,-3.2,78.9
ST_442,19,5.0,5.0,72.4
ST_443,27,,18.3,34.9
ST_444,70,53.0,8.6,75.0
ST_445,37,11.0,0.2,73.5
ST_446,35,13.0,10.6,73.5
ST_447,38,28.0,8.6,70.5
ST_448,326,231.0,-4.2,78.5
ST_449,44,32.0,22.7,26.9
ST_450,44,18.0,26.2,72.7
ST_451,93,87.0,15.6,83.1
ST_452,47,34.0,31.9,45.7
ST_453,20,15.0,6.2,52.5
ST_454,164,117.0,14.8,21.9
ST_455,18,29.0,7.9,67.1
ST_456,98,70.0,18.9,65.1
ST_457,10,5.0,27.4,37.2
ST_458,77,61.0,7.2,48.0
ST_459,10,17.0,35.1,55.3
ST_460,36,24.0,15.9,92.8
ST_461,78,49.0,18.9,42.9
ST_462,53,44.0,-0.4,66.9
ST_463,153,102.0,15.1,93.5
ST_464,29,32.0,21.6,31.1
ST_465,116,103.0,19.4,51.5
ST_466,21,14.0,8.1,62.8
ST_467,110,86.0,24.4,88.2
ST_468,60,49.0,6.4,67.8
ST_469,48,33.0,-4.0,65.3
ST_470,83,64.0,31.8,52.6
ST_471,56,36.0,3.7,60.0
ST_472,16,14.0,4.1,80.6
ST_473,33,37.0,6.9,52.8
ST_474,70,53.0,-6.1,88.6
ST_475,12,17.0,15.9,77.2
ST_476,137,86.0,30.5,29.2
ST_477,34,18.0,17.7,33.0
ST_478,57,40.0,7.8,22.7
ST_479,16,6.0,19.1,55.5
ST_480,28,14.0,18.6,47.2
ST_481,33,21.0,13.4,62.1
ST_482,199,132.0,25.0,24.5
ST_483,116,91.0,27.7,48.3
ST_484,133,97.0,20.9,86.4
ST_485,28,5.0,16.4,31.3
ST_486,45,32.0,13.5,61.3
ST_487,58,49.0,12.3,55.9
ST_488,67,,21.7,81.1
ST_489,19,18.0,13.0,61.4
ST_490,108,,4.1,84.8
ST_491,156,127.0,14.9,52.1
ST_492,74,50.0,4.9,90.8
ST_493,26,27.0,12.3,43.4
ST_494,35,26.0,29.5,72.5
ST_495,45,23.0,22.6,49.1
ST_496,27,13.0,9.8,85.7
ST_497,95,59.0,14.5,76.3
ST_498,16,8.0,18.7,27.5
ST_499,105,69.0,23.7,24.1
ST_500,10,10.0,12.7,94.7
