监测站编号,空气质量指数(AQI),PM2.5(微克/立方米),气温(摄氏度),相对湿度(%)
ST_059,28,30.0,16.3,40.6
ST_060,35,24.0,19.8,40.9
ST_061,243,,-3.8,88.8
ST_062,25,17.0,-11.3,43.8
ST_063,27,26.0,11.6,87.7
ST_064,67,49.0,18.4,65.5
ST_065,76,45.0,-0.1,78.9
ST_066,30,6.0,4.4,54.8
ST_067,62,51.0,7.6,70.9
ST_068,35,32.0,12.9,38.6
ST_069,30,,24.5,89.5
ST_070,33,16.0,11.9,24.5
ST_071,64,44.0,17.6,81.9
ST_072,102,75.0,1.4,66.1
ST_073,23,14.0,7.0,84.6
ST_074,62,39.0,36.6,85.2
ST_075,37,24.0,25.2,73.8
ST_076,154,107.0,9.9,56.5
ST_077,132,92.0,19.3,86.3
ST_078,83,55.0,25.3,35.3
ST_079,71,44.0,24.2,20.6
ST_080,90,61.0,14.5,88.4
ST_081,42,36.0,12.1,41.4
ST_082,50,49.0,5.4,72.0
ST_083,13,5.0,9.9,36.4
ST_084,61,51.0,3.6,56.7
ST_085,48,34.0,13.0,45.4
ST_086,50,27.0,19.1,55.6
ST_087,31,24.0,21.3,58.3
ST_088,37,43.0,31.0,47.6
ST_089,36,25.0,11.9,55.3
ST_090,23,16.0,14.8,21.4
ST_091,64,47.0,1.3,51.8
ST_092,66,41.0,9.6,53.0
ST_093,57,51.0,17.0,84.7
ST_094,141,106.0,23.2,45.9
ST_095,33,28.0,29.0,87.1
ST_096,71,64.0,14.8,88.7
ST_097,126,74.0,5.2,82.9
ST_098,87,66.0,20.5,21.1
ST_099,53,43.0,22.9,87.1
ST_100,22,5.0,3.1,62.6
ST_101,75,48.0,6.0,68.5
ST_102,63,47.0,20.2,85.6
ST_103,48,47.0,29.3,34.8
ST_104,30,35.0,23.3,81.2
ST_105,73,44.0,7.7,42.3
ST_106,10,5.0,13.3,23.4
ST_107,129,104.0,23.4,91.6
ST_108,24,21.0,7.0,34.4
ST_109,163,111.0,-0.3,36.9
ST_110,49,42.0,7.0,77.7
ST_111,134,103.0,26.8,79.7
ST_112,167,103.0,15.5,82.0
ST_113,27,23.0,20.0,59.4
ST_114,27,28.0,22.6,44.8
ST_115,71,39.0,6.1,83.7
ST_116,47,23.0,13.4,64.1
ST_117,145,91.0,-4.4,92.9
ST_118,28,6.0,9.1,21.5
ST_119,92,,12.3,92.3
ST_120,21,25.0,24.2,87.1
ST_121,104,63.0,22.1,61.4
ST_122,40,33.0,16.0,49.4
ST_123,16,16.0,15.0,84.2
ST_124,10,,17.5,30.5
ST_125,45,40.0,8.8,49.3
ST_126,32,16.0,13.8,22.1
ST_127,31,11.0,27.2,87.6
ST_128,113,92.0,8.3,76.5
ST_129,74,48.0,18.4,42.8
ST_130,27,13.0,17.4,56.2
ST_131,41,27.0,14.5,69.5
ST_132,43,40.0,1.7,74.9
ST_133,141,94.0,13.7,42.0
ST_134,34,33.0,14.5,55.6
ST_135,54,28.0,-5.6,52.8
ST_136,32,14.0,4.3,57.7
ST_137,214,154.0,24.0,45.6
ST_138,107,74.0,23.4,22.1
ST_139,78,54.0,4.1,86.7
ST_140,51,15.0,20.5,72.5
ST_141,51,34.0,17.4,27.4
ST_142,52,32.0,29.1,23.9
ST_143,21,5.0,15.0,30.6
ST_144,50,37.0,20.3,67.4
ST_145,19,6.0,19.7,91.6
ST_146,67,42.0,20.8,21.0
ST_147,73,52.0,15.5,68.8
ST_148,62,45.0,15.2,86.1
ST_149,343,252.0,17.4,26.8
ST_150,78,47.0,10.3,46.0
ST_151,14,5.0,-0.5,35.2
ST_152,70,38.0,21.3,78.1
ST_153,44,17.0,18.2,33.5
ST_154,152,98.0,8.2,48.2
ST_155,144,86.0,5.8,61.9
ST_156,38,28.0,21.0,49.1
ST_157,115,71.0,-7.9,23.0
ST_158,27,5.0,10.6,80.4
ST_159,87,50.0,7.1,63.6
ST_160,71,44.0,10.4,87.7
ST_161,45,45.0,25.6,41.5
ST_162,88,60.0,3.7,66.3
ST_163,65,36.0,23.2,67.8
ST_164,136,94.0,,85.7
ST_165,62,33.0,6.1,51.1
ST_166,34,24.0,,82.3
ST_167,55,46.0,23.0,22.4
ST_168,106,95.0,9.8,20.0
ST_169,74,,27.9,83.3
ST_170,146,91.0,12.0,93.5
ST_171,10,8.0,2.0,71.3
ST_172,24,21.0,36.1,79.8
ST_173,259,180.0,26.6,79.7
ST_174,161,,24.1,53.6
ST_175,63,43.0,,30.1
ST_176,148,96.0,12.0,81.3
ST_177,29,8.0,15.5,23.6
ST_178,29,19.0,8.6,77.9
ST_179,93,45.0,-4.1,45.5
ST_180,27,25.0,21.2,89.6
ST_181,38,38.0,1.6,64.8
ST_182,33,32.0,12.0,54.0
ST_183,115,81.0,7.0,42.7
ST_184,133,78.0,18.6,76.2
ST_185,99,68.0,,56.5
ST_186,17,32.0,17.0,20.1
ST_187,13,25.0,34.6,34.2
ST_188,174,105.0,29.5,71.0
ST_189,11,5.0,10.8,24.4
ST_190,29,22.0,0.7,52.5
ST_191,30,18.0,20.7,31.7
ST_192,28,23.0,11.2,93.0
ST_193,109,78.0,11.6,78.4
ST_194,68,35.0,20.7,26.3
ST_195,102,81.0,2.3,92.5
ST_196,39,18.0,7.0,22.1
ST_197,75,64.0,16.5,31.2
ST_198,82,69.0,40.3,38.9
ST_199,10,11.0,1.7,74.1
ST_200,226,160.0,50.1,22.8
ST_201,63,36.0,11.3,48.4
ST_202,47,36.0,27.1,88.1
ST_203,138,87.0,,83.9
ST_204,171,108.0,35.5,37.2
ST_205,109,70.0,12.9,24.2
ST_206,78,65.0,24.4,27.7
ST_207,77,55.0,17.7,85.2
ST_208,21,,8.5,35.4
ST_209,64,62.0,25.0,81.5
ST_210,59,43.0,29.7,41.8
ST_211,77,58.0,20.4,33.0
ST_212,32,37.0,11.4,41.5
ST_213,27,28.0,20.9,79.7
ST_214,23,16.0,2.8,29.0
ST_215,19,14.0,12.4,35.3
ST_216,130,,10.5,80.1
ST_217,145,107.0,23.0,84.4
ST_218,80,64.0,,46.5
ST_219,80,64.0,13.5,26.3
ST_220,24,7.0,5.5,90.6
ST_221,185,150.0,13.1,47.4
ST_222,79,40.0,,79.9
ST_223,58,33.0,29.7,59.2
ST_224,265,177.0,21.9,31.2
ST_225,362,247.0,0.4,55.9
ST_226,70,37.0,32.1,46.7
ST_227,215,147.0,20.4,32.9
ST_228,11,26.0,15.0,27.6
ST_229,105,67.0,18.6,68.2
ST_230,98,58.0,36.0,51.7
ST_231,79,37.0,15.5,50.9
ST_232,56,24.0,5.9,81.4
ST_233,40,23.0,3.7,91.4
ST_234,122,92.0,19.2,60.2
ST_235,19,12.0,3.4,36.5
ST_236,146,114.0,10.0,50.4
ST_237,53,31.0,16.8,58.1
ST_238,29,35.0,19.7,53.7
ST_239,24,10.0,9.3,22.9
ST_240,57,33.0,23.4,83.8
ST_241,42,40.0,-6.2,89.0
ST_242,63,48.0,,45.3
ST_243,51,37.0,21.8,42.7
ST_244,172,127.0,5.9,94.0
ST_245,33,30.0,16.2,57.7
ST_246,225,166.0,17.7,32.2
ST_247,77,49.0,20.1,85.5
ST_248,124,88.0,-3.6,24.9
ST_249,155,95.0,8.7,73.3
ST_250,63,47.0,28.0,82.5
ST_251,266,197.0,15.9,83.3
ST_252,30,25.0,6.1,83.8
ST_253,117,77.0,,27.0
ST_254,22,22.0,3.3,67.5
ST_255,18,5.0,45.5,73.0
ST_256,52,30.0,16.8,78.9
ST_257,149,,,91.9
ST_258,298,212.0,6.5,59.9
ST_259,424,292.0,6.2,67.5
ST_260,22,18.0,7.7,36.3
ST_261,19,5.0,11.1,39.3
ST_262,58,37.0,8.9,74.9
ST_263,79,66.0,,45.2
ST_264,36,28.0,6.6,92.2
ST_265,156,111.0,14.8,63.5
ST_266,31,12.0,9.6,94.5
ST_267,49,47.0,25.8,94.3
ST_268,56,32.0,21.0,55.7
ST_269,10,22.0,21.1,92.9
ST_270,57,51.0,,51.8
ST_271,10,5.0,28.5,41.4
ST_272,31,22.0,0.2,64.8
ST_273,21,20.0,20.4,63.4
ST_274,17,19.0,19.5,56.0
ST_275,28,14.0,14.0,72.8
ST_276,17,7.0,19.9,72.3
ST_277,28,25.0,13.8,66.6
ST_278,14,5.0,,67.7
ST_279,32,37.0,6.0,56.5
ST_280,27,38.0,24.1,32.0
ST_281,21,5.0,24.6,42.1
ST_282,36,20.0,20.4,86.1
ST_283,25,5.0,-0.7,40.0
ST_284,24,16.0,10.3,50.1
ST_285,13,15.0,4.8,65.5
ST_286,13,5.0,32.8,20.1
ST_287,76,64.0,8.3,50.5
ST_288,246,177.0,18.5,80.9
ST_289,44,38.0,7.7,55.6
ST_290,25,26.0,1.8,90.1
ST_291,17,9.0,,51.4
ST_292,27,24.0,6.7,86.7
ST_293,154,116.0,27.0,91.5
ST_294,114,68.0,8.1,48.5
ST_295,88,56.0,15.7,21.2
ST_296,15,22.0,9.5,93.5
ST_297,32,16.0,26.0,68.8
ST_298,54,37.0,23.1,87.3
ST_299,42,18.0,15.7,59.5
ST_300,145,97.0,12.6,34.5
ST_301,106,86.0,19.2,32.5
ST_302,106,67.0,8.3,30.0
ST_303,15,23.0,12.0,36.0
ST_304,22,5.0,-12.0,93.4
ST_305,119,87.0,3.7,44.7
ST_306,159,113.0,20.7,82.3
ST_307,178,139.0,9.4,39.7
ST_308,16,6.0,20.0,51.5
ST_309,48,24.0,13.2,24.0
ST_310,61,45.0,26.6,93.0
ST_311,39,30.0,13.7,71.2
ST_312,83,61.0,18.9,31.3
ST_313,59,46.0,28.7,36.0
ST_314,99,,11.1,51.0
ST_315,31,33.0,7.4,51.3
ST_316,32,32.0,19.4,21.4
ST_317,37,31.0,,22.3
ST_318,213,145.0,,21.3
ST_319,68,43.0,15.5,35.5
ST_320,41,,17.3,73.2
ST_321,27,23.0,-3.5,55.4
ST_322,89,67.0,20.1,85.5
ST_323,49,48.0,13.2,52.5
ST_324,254,177.0,19.1,35.7
ST_325,13,11.0,11.9,72.7
ST_326,16,5.0,7.2,76.2
ST_327,142,108.0,11.2,81.6
ST_328,270,171.0,22.1,87.3
ST_329,57,26.0,12.9,28.2
ST_330,160,121.0,9.7,38.5
ST_331,90,50.0,25.4,36.7
ST_332,38,19.0,13.7,23.6
ST_333,33,21.0,20.0,94.9
ST_334,85,56.0,30.4,89.7
ST_335,136,101.0,9.8,70.4
ST_336,77,23.0,28.1,78.1
ST_337,86,61.0,3.6,27.4
ST_338,47,36.0,27.9,84.5
ST_339,78,72.0,5.3,41.6
ST_340,52,20.0,18.0,39.5
ST_341,81,68.0,2.9,83.2
ST_342,10,5.0,18.8,77.4
ST_343,253,167.0,11.3,52.5
ST_344,42,13.0,29.3,33.7
ST_345,151,103.0,10.6,53.8
ST_346,19,10.0,14.3,41.8
ST_347,66,31.0,26.1,84.8
ST_348,10,5.0,5.1,44.9
ST_349,73,36.0,29.2,86.6
ST_350,58,50.0,11.9,22.0
ST_351,32,19.0,2.9,32.2
ST_352,33,31.0,17.8,33.3
ST_353,170,114.0,17.5,67.5
ST_354,56,39.0,22.3,47.8
ST_355,41,30.0,16.7,93.4
ST_356,22,12.0,21.9,30.1
ST_357,30,13.0,33.1,29.4
ST_358,32,28.0,28.5,89.6
ST_359,14,12.0,12.7,24.0
ST_360,101,57.0,3.0,30.6
ST_361,52,30.0,23.2,92.2
ST_362,55,41.0,16.3,94.1
ST_363,33,28.0,36.9,20.1
ST_364,11,5.0,8.2,88.1
ST_365,10,23.0,24.6,22.2
ST_366,52,38.0,-6.2,53.8
ST_367,15,29.0,10.4,44.2
ST_368,132,94.0,-1.6,24.5
ST_369,46,30.0,-2.1,44.3
ST_370,27,29.0,,72.9
ST_371,67,56.0,26.0,46.5
ST_372,20,5.0,5.5,25.1
ST_373,72,48.0,15.7,42.8
ST_374,36,29.0,17.7,55.6
ST_375,52,26.0,0.7,32.7
ST_376,203,132.0,,37.9
ST_377,29,23.0,24.7,46.6
ST_378,126,97.0,8.5,23.9
ST_379,31,16.0,9.7,78.3
ST_380,80,58.0,33.6,34.1
ST_381,71,65.0,6.4,58.8
ST_382,179,139.0,3.4,52.3
ST_383,175,110.0,23.2,55.0
ST_384,289,191.0,17.5,38.4
ST_385,137,113.0,39.2,46.3
ST_386,92,57.0,0.8,71.9
ST_387,500,347.0,22.9,93.5
ST_388,142,103.0,11.0,88.5
ST_389,43,7.0,5.9,79.2
ST_390,39,21.0,10.2,29.6
ST_391,68,17.0,10.0,93.8
ST_392,111,84.0,33.1,71.2
ST_393,16,35.0,13.3,74.9
ST_394,48,38.0,20.8,73.3
ST_395,72,56.0,6.4,64.5
ST_396,57,,20.4,44.4
ST_397,13,5.0,18.7,45.3
ST_398,39,27.0,19.4,87.1
ST_399,45,55.0,22.5,56.5
ST_400,50,39.0,0.6,49.7
ST_401,97,57.0,6.7,40.0
ST_402,69,39.0,11.2,36.4
ST_403,32,6.0,1.0,75.3
ST_404,35,8.0,3.8,24.2
ST_405,60,44.0,-4.3,32.5
ST_406,135,96.0,8.0,46.4
ST_407,38,17.0,9.3,30.4
ST_408,17,5.0,11.5,47.3
ST_409,22,8.0,28.2,26.2
ST_410,317,207.0,19.6,37.1
ST_411,62,42.0,,86.5
ST_412,50,,9.4,43.7
ST_413,38,15.0,8.0,55.6
ST_414,233,181.0,19.1,62.9
ST_415,319,237.0,5.6,26.6
ST_416,122,,-0.2,52.0
ST_417,23,13.0,9.2,45.5
ST_418,500,341.0,,21.1
ST_419,52,32.0,12.0,94.5
ST_420,19,8.0,17.1,73.9
ST_421,162,134.0,,80.4
ST_422,25,10.0,20.2,20.1
ST_423,19,17.0,7.4,69.2
ST_424,11,6.0,29.3,38.1
ST_425,101,66.0,3.5,36.1
ST_426,36,34.0,5.2,68.5
ST_427,188,131.0,24.2,48.7
ST_428,80,71.0,8.7,33.4
ST_429,100,61.0,3.9,82.1
ST_430,211,142.0,43.1,55.6
ST_431,35,20.0,31.0,78.0
ST_432,10,5.0,5.2,25.7
ST_433,16,5.0,8.2,67.8
ST_434,21,7.0,16.4,41.7
ST_435,48,39.0,28.6,21.1
ST_436,24,20.0,5.6,80.0
ST_437,21,5.0,16.3,41.7
ST_438,244,169.0,24.6,76.1
ST_439,15,5.0,23.8,84.7
ST_440,21,29.0,8.5,85.1
ST_441,80,76.0,15.4,82.4
ST_442,10,16.0,10.2,62.8
ST_443,95,56.0,21.7,39.2
ST_444,35,41.0,10.3,65.8
ST_445,17,,30.8,66.1
ST_446,29,21.0,-1.9,87.4
ST_447,26,32.0,-6.5,60.4
ST_448,48,39.0,9.6,40.4
ST_449,117,85.0,21.2,79.0
ST_450,83,,17.8,83.7
ST_451,51,34.0,13.7,24.7
ST_452,22,14.0,9.4,87.9
ST_453,29,20.0,12.1,91.7
ST_454,10,5.0,38.2,32.7
ST_455,47,28.0,2.6,90.7
ST_456,71,45.0,24.5,40.0
ST_457,23,13.0,13.5,83.7
ST_458,29,32.0,13.8,21.8
ST_459,72,55.0,30.4,68.8
ST_460,56,38.0,19.3,71.5
ST_461,58,36.0,11.6,31.0
ST_462,21,10.0,11.5,92.7
ST_463,136,90.0,-8.1,20.4
ST_464,47,25.0,9.7,44.5
ST_465,109,77.0,28.0,81.0
ST_466,32,19.0,27.5,40.1
ST_467,10,9.0,13.0,63.8
ST_468,67,67.0,19.4,37.2
ST_469,14,5.0,3.7,72.1
ST_470,70,70.0,13.9,25.1
ST_471,81,51.0,25.0,67.0
ST_472,124,82.0,13.2,51.0
ST_473,14,5.0,-3.8,38.3
ST_474,53,32.0,7.9,64.3
ST_475,99,,19.5,80.5
ST_476,63,40.0,15.3,89.1
ST_477,48,24.0,19.5,93.9
ST_478,16,17.0,21.2,90.0
ST_479,351,246.0,21.1,34.8
ST_480,22,28.0,17.3,41.0
ST_481,52,,19.7,22.2
ST_482,60,57.0,22.8,26.9
ST_483,36,35.0,28.5,23.5
ST_484,48,23.0,15.1,26.9
ST_485,28,6.0,16.5,21.4
ST_486,33,,31.8,93.5
ST_487,182,126.0,5.6,80.6
ST_488,137,95.0,22.7,21.3
ST_489,27,24.0,,31.9
ST_490,28,,21.7,58.1
ST_491,61,39.0,21.6,57.7
ST_492,34,18.0,27.5,85.6
ST_493,79,72.0,15.0,65.5
ST_494,87,58.0,33.0,29.8
ST_495,73,48.0,20.7,66.5
ST_496,54,41.0,23.6,38.5
ST_497,56,61.0,15.5,59.7
ST_498,13,19.0,17.0,52.9
ST_499,48,36.0,3.2,43.2
ST_500,59,45.0,14.8,79.1
